block,method,route_id,duration,gap_percent,feasible,reference_label,note
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_29,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_30,7.904915845880065,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_30,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_30,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_31,4.310111304749766,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_31,4.310111304749766,0.0,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_31,4.777223472390521,10.837589440578824,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_32,9.767109043722103,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_32,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_32,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_33,8.417016396552652,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_33,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_33,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_34,8.917673747435272,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_34,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_34,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_35,7.659848898007008,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_35,7.659848898007007,-1.1595247263052639e-14,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_35,8.376448435770598,9.355269892465378,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_36,9.43588555652687,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_36,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_36,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_37,7.850037132817503,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_37,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_37,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,frvcpy_Solver,route_tc0c40s8cf0_38,6.968124405950901,,True,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyMin,route_tc0c40s8cf0_38,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
native_FRVCP,FRVCPGreedyFull,route_tc0c40s8cf0_38,,,False,official upstream e-VRO/frvcpy reference routes/objectives,official upstream e-VRO/frvcpy reference routes/objectives; exact only for native FRVCP; not EVRPTW-GR
